branch,college_tier,cgpa,backlogs,coding_skills,dsa_score,aptitude_score,communication_skills,ml_knowledge,system_design,internships,projects_count,certifications,hackathons,open_source_contributions,extracurriculars,placement_status,salary_package_lpa
CSE,Tier-3,4.97,0,7.4,2.3,67.1,6.3,5.7,4.1,2,4,1,0,2,3,0,
CSE,Tier-1,7.42,2,5.6,8.1,92.6,7.0,2.9,5.8,1,4,1,0,1,0,1,21.29
ME,Tier-2,6.13,0,3.5,4.9,54.5,5.7,3.4,5.5,0,1,3,0,0,1,0,
Chemical,Tier-2,7.45,1,8.3,4.3,64.2,4.9,4.5,5.1,1,2,1,0,1,0,1,16.98
CSE,Tier-2,7.48,0,5.1,7.4,85.3,6.9,1.8,6.2,1,2,1,2,0,1,0,
EE,Tier-3,7.3,3,5.7,3.5,81.0,6.9,6.5,3.9,0,3,1,1,1,0,1,12.79
IT,Tier-3,7.55,0,4.9,4.1,61.4,7.3,10.0,6.2,0,4,2,0,0,0,0,
CSE,Tier-3,6.51,1,6.0,6.0,67.0,6.3,2.5,1.2,1,2,1,0,0,0,1,14.25
EE,Tier-3,5.74,0,3.4,10.0,86.5,4.7,1.9,3.6,0,2,2,0,0,2,1,12.9
ECE,Tier-3,6.77,0,4.6,5.4,49.4,8.2,6.6,4.8,1,3,2,0,0,1,1,16.76
EE,Tier-3,6.28,0,7.2,1.7,62.4,5.2,4.8,5.1,3,4,1,1,0,1,0,
EE,Tier-2,7.31,0,6.1,3.5,67.8,2.6,1.4,6.7,1,2,0,3,0,2,0,
CE,Tier-1,7.46,0,5.3,7.3,66.7,6.2,3.8,3.4,1,5,4,0,0,1,1,20.97
CSE,Tier-2,6.68,0,4.2,5.9,71.9,3.7,3.8,5.0,2,0,1,0,1,1,1,18.65
IT,Tier-2,7.42,1,3.3,3.7,66.4,3.1,0.4,3.7,3,2,0,1,1,1,1,15.96
ECE,Tier-2,8.29,2,5.3,7.0,72.4,6.4,6.9,3.8,0,1,2,0,0,2,0,
CSE,Tier-1,8.68,0,5.7,7.2,69.8,5.3,3.2,4.0,1,2,2,1,0,1,1,21.53
CSE,Tier-3,6.94,1,5.7,5.5,100.0,4.8,5.6,1.0,0,3,1,0,1,1,1,14.46
CE,Tier-3,7.77,0,6.7,5.6,75.9,7.3,4.2,3.6,1,1,1,0,0,2,0,
EE,Tier-2,5.67,0,5.0,7.6,67.6,7.2,4.1,5.5,1,4,1,0,0,1,0,
CSE,Tier-3,6.4,2,3.7,5.7,67.0,5.8,5.1,5.8,1,1,2,0,1,0,0,
ME,Tier-1,4.81,1,5.8,3.2,68.9,3.4,4.4,3.4,1,4,1,0,2,1,1,15.8
CSE,Tier-3,5.89,0,4.4,5.0,59.8,7.6,3.9,2.9,3,2,0,3,0,0,1,18.23
EE,Tier-1,7.97,0,5.1,6.8,91.7,7.2,5.6,1.8,0,1,2,1,0,3,1,17.1
CSE,Tier-2,6.88,0,6.3,3.1,50.0,5.8,5.3,1.9,1,1,1,0,1,3,1,14.74
EE,Tier-2,5.99,0,6.1,7.9,45.9,6.1,1.3,6.2,2,3,1,0,0,2,0,
ECE,Tier-2,7.68,0,5.1,1.8,78.0,5.4,4.6,2.3,3,3,1,2,1,0,1,15.03
Chemical,Tier-2,6.82,3,6.6,5.6,76.9,5.6,4.1,5.1,2,4,3,0,0,0,1,17.97
CSE,Tier-3,8.14,1,8.0,6.4,73.7,7.2,4.3,0.1,2,2,2,0,2,0,1,19.03
ECE,Tier-1,5.5,1,6.8,8.8,71.1,4.6,4.8,1.0,1,3,1,0,1,1,1,17.69
CSE,Tier-3,7.64,0,5.7,4.2,53.1,2.4,3.7,2.7,1,4,1,1,0,0,1,15.55
Chemical,Tier-3,9.32,0,8.3,5.6,74.5,6.8,5.3,6.7,2,2,3,0,0,1,1,20.9
IT,Tier-2,9.53,1,8.8,5.3,56.5,3.7,0.4,0.8,0,3,1,1,2,2,1,15.33
ECE,Tier-3,7.67,1,5.5,2.8,53.8,5.9,6.7,8.1,1,4,2,0,2,3,1,17.61
EE,Tier-3,8.07,1,4.7,1.6,75.1,6.4,7.1,2.8,2,2,0,2,0,0,1,15.75
IT,Tier-3,6.8,2,8.1,5.0,62.4,4.7,3.8,1.7,0,3,3,1,2,1,1,13.31
CE,Tier-3,6.58,0,8.5,5.3,80.2,5.7,3.9,4.4,0,3,1,0,0,2,1,16.6
CE,Tier-3,6.87,0,5.4,5.9,72.9,6.6,1.9,4.1,2,2,1,0,0,3,0,
CSE,Tier-3,6.27,0,4.0,1.0,58.9,5.3,6.3,1.7,1,5,1,1,0,1,1,12.41
CSE,Tier-3,5.01,2,5.5,6.8,69.7,6.8,8.7,5.0,1,1,0,0,0,1,0,
IT,Tier-3,6.77,0,8.6,5.6,69.1,2.6,3.2,3.5,1,1,0,0,1,0,0,
Chemical,Tier-3,6.59,0,3.9,6.0,57.8,5.8,5.6,2.3,0,2,0,0,0,1,0,
EE,Tier-2,6.29,1,4.9,6.1,83.0,10.0,5.5,2.3,1,4,1,1,1,2,0,
ECE,Tier-2,6.64,2,5.1,5.0,49.8,6.8,4.3,5.6,1,2,0,0,0,3,1,16.61
ECE,Tier-3,7.33,0,5.0,2.2,82.4,4.3,2.6,4.6,1,3,0,0,0,2,0,
EE,Tier-3,8.71,0,4.9,6.1,55.6,6.3,6.3,4.7,0,2,1,2,1,1,1,17.89
IT,Tier-1,7.81,1,8.2,6.3,69.1,3.9,8.5,4.4,2,4,1,0,0,1,1,23.08
IT,Tier-3,6.97,0,9.0,7.2,90.5,4.1,5.3,3.1,1,2,0,2,0,2,1,18.02
IT,Tier-3,6.97,1,5.7,3.9,77.0,6.7,5.6,3.1,0,2,1,1,0,0,1,14.13
EE,Tier-1,7.83,0,6.6,7.5,76.9,4.4,4.7,6.6,1,5,2,0,0,1,1,20.65
CSE,Tier-3,6.72,1,6.1,5.4,66.8,6.3,4.9,3.1,3,3,1,3,0,0,1,18.01
CSE,Tier-3,7.01,0,6.9,4.2,77.1,6.6,6.3,1.4,0,0,4,0,1,2,0,
IT,Tier-3,6.17,0,6.5,5.1,68.4,6.0,5.6,4.8,1,1,2,2,0,0,1,15.85
CE,Tier-1,7.75,2,7.0,8.5,63.8,5.9,5.8,4.4,1,2,1,2,0,2,1,21.56
CSE,Tier-3,7.87,1,6.4,8.3,69.3,7.1,2.6,2.8,1,2,3,0,1,1,1,15.81
CSE,Tier-2,6.66,1,5.4,4.6,74.7,5.2,5.2,6.8,2,1,3,0,0,0,1,19.24
EE,Tier-1,5.7,0,7.9,3.4,46.6,7.0,5.3,3.0,1,2,2,0,0,0,1,16.88
CSE,Tier-2,7.3,0,6.3,5.0,71.1,5.4,1.1,1.8,1,2,1,2,1,2,0,
CSE,Tier-2,6.88,2,7.4,2.2,76.2,5.1,3.8,2.5,1,2,0,1,0,1,0,
CE,Tier-3,6.98,0,8.1,3.6,55.2,4.5,4.0,4.6,1,1,2,0,0,0,0,
EE,Tier-2,6.6,0,6.6,6.5,64.2,6.1,7.3,6.9,3,3,2,0,0,0,0,
EE,Tier-2,7.47,0,7.8,4.8,81.6,6.4,6.8,4.1,0,4,1,0,0,1,0,
CSE,Tier-1,6.82,0,8.0,6.1,76.7,6.5,2.4,1.7,1,2,3,2,0,1,1,18.71
EE,Tier-2,9.06,0,5.8,3.6,60.3,5.4,0.0,3.6,1,2,2,0,0,2,1,17.49
CSE,Tier-3,6.56,1,5.2,7.2,51.2,5.5,1.1,5.1,0,3,0,0,0,3,0,
ECE,Tier-3,4.41,2,7.1,5.2,48.4,4.2,5.0,3.2,0,0,0,0,0,1,1,14.24
IT,Tier-3,7.26,0,5.5,7.1,73.7,5.3,6.1,3.2,2,3,1,0,0,3,1,18.04
EE,Tier-2,6.79,0,3.9,3.9,64.2,6.7,6.9,4.0,1,2,2,0,0,3,0,
IT,Tier-1,7.43,1,5.2,3.9,45.7,5.9,7.1,0.6,3,4,0,0,0,3,1,19.73
EE,Tier-3,6.17,1,5.5,9.5,69.9,5.3,4.4,4.0,1,3,0,0,0,2,1,17.33
CE,Tier-3,7.48,1,5.3,5.2,51.9,5.7,8.4,7.6,1,3,1,1,0,3,1,20.19
CSE,Tier-1,7.11,0,6.7,5.4,49.4,5.7,4.1,3.8,0,2,0,0,1,1,1,18.55
ECE,Tier-2,8.19,1,5.7,9.0,60.0,2.6,5.3,6.5,0,4,2,1,0,2,1,20.97
ECE,Tier-2,8.67,0,6.6,8.9,48.5,6.5,4.7,5.2,0,1,3,3,1,2,1,18.32
CSE,Tier-3,6.75,0,3.9,6.6,82.6,6.9,4.6,1.9,0,2,0,0,0,0,1,15.1
Chemical,Tier-2,5.52,2,4.2,8.3,56.4,4.8,3.9,5.8,1,2,2,1,0,0,1,15.52
ECE,Tier-3,7.39,3,5.7,6.1,61.7,5.2,7.2,5.7,2,1,0,1,0,1,0,
IT,Tier-1,5.96,2,5.8,6.1,65.2,10.0,2.3,2.7,1,4,2,1,0,2,1,15.91
EE,Tier-3,6.57,1,5.4,5.4,71.9,5.6,5.1,8.0,2,2,1,1,0,2,1,14.39
IT,Tier-2,8.12,3,6.3,7.0,59.3,7.5,5.0,5.0,0,3,1,2,0,2,1,17.74
ME,Tier-2,7.38,1,7.6,4.1,64.7,5.9,2.8,4.1,1,5,1,0,1,1,1,16.28
CE,Tier-2,6.09,0,7.7,5.6,56.3,4.2,4.4,0.8,1,4,3,2,1,2,0,
ME,Tier-2,6.66,3,5.6,6.6,60.6,6.4,1.6,4.1,2,4,1,0,0,2,1,17.18
CSE,Tier-3,6.5,0,4.3,5.5,73.4,4.7,1.4,0.3,1,2,2,2,0,3,1,10.63
EE,Tier-1,6.89,1,4.7,6.3,71.4,6.9,7.3,5.8,0,4,2,1,1,1,1,19.68
ECE,Tier-3,7.4,0,7.1,6.0,70.3,9.1,3.7,3.2,2,5,2,0,1,1,0,
CSE,Tier-3,7.07,0,4.7,7.3,74.2,8.9,2.9,4.2,1,2,3,0,0,0,1,15.36
EE,Tier-3,5.79,0,3.0,5.4,63.6,4.2,5.8,5.8,0,2,0,1,0,2,1,13.7
CSE,Tier-3,5.07,2,5.2,5.0,57.0,6.4,3.8,3.0,1,2,2,0,0,1,1,13.74
Chemical,Tier-3,7.46,0,6.7,5.2,45.4,6.7,5.5,2.9,1,3,3,1,0,3,1,16.6
Chemical,Tier-3,6.9,0,4.5,4.1,61.0,5.3,6.1,4.7,2,0,2,0,0,1,0,
Chemical,Tier-3,6.64,2,2.6,9.3,66.2,7.4,6.0,1.6,1,1,1,3,0,2,1,15.07
